City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Busselton,-33.65,115.33,59,90,0,16.04,AU,1608418814
Hermanus,-34.42,19.23,62.01,90,0,1.01,ZA,1608419152
Port Alfred,-33.59,26.89,72,96,6,3,ZA,1608419176
Linares,-35.85,-71.6,72.36,33,36,13.02,CL,1608419311
Pevek,69.7,170.31,1.26,90,0,6.13,RU,1608419146
Khandyga,62.67,135.6,-45.53,76,57,1.86,RU,1608419181
Cape Town,-33.93,18.42,66.99,72,0,23.04,ZA,1608419145
Havelock,34.88,-76.9,42.01,77,0,4.03,US,1608419367
Saint Anthony,45.02,-93.22,27,73,90,9.17,US,1608419152
Rikitea,-23.12,-134.97,77.76,76,10,20.45,PF,1608418822
Tuktoyaktuk,69.45,-133.04,-34.6,73,20,3.36,CA,1608419158
Elizabeth City,36.29,-76.25,39.99,77,1,4.7,US,1608419308
Nelson Bay,-32.72,152.15,69.01,100,90,12.75,AU,1608419388
Tautira,-17.73,-149.15,86,66,40,16.11,PF,1608419183
Castro,-24.79,-50.01,68.05,90,60,3.33,BR,1608419149
Lebu,-37.62,-73.65,55.76,77,90,14.36,CL,1608419181
Sitka,57.05,-135.33,44.6,87,90,18.34,US,1608419179
Qaanaaq,77.48,-69.36,-4.07,78,39,0.67,GL,1608418817
Tasiilaq,65.61,-37.64,21.2,57,99,4.7,GL,1608419168
Assiniboia,49.63,-105.98,37.4,59,30,24.16,CA,1608419389
Asekeyevo,53.57,52.8,-5.22,84,35,4.23,RU,1608419390
Lashio,22.93,97.75,49.28,90,0,1.54,MM,1608419164
Avarua,-21.21,-159.78,80.6,65,100,6.93,CK,1608418881
Vaini,-21.2,-175.2,82.4,83,40,21.92,TO,1608419155
Port Elizabeth,-33.92,25.57,69.8,100,40,5.82,ZA,1608419170
Mataura,-46.19,168.86,62.01,60,93,7,NZ,1608419139
Kapaa,22.08,-159.32,80.6,74,75,17.22,US,1608418815
Bluff,-46.6,168.33,62.01,60,11,7,NZ,1608419146
Souillac,-20.52,57.52,75.2,88,20,3.36,MU,1608419156
Hobart,-42.88,147.33,60.01,67,75,5.82,AU,1608419001
Isangel,-19.55,169.27,82.4,69,75,5.82,VU,1608419142
Penticton,49.48,-119.59,46.4,72,90,18.34,CA,1608419235
Yola,9.2,12.48,74.79,20,0,2.13,NG,1608419391
Chazuta,-6.57,-76.14,91.4,52,20,9.17,PE,1608419391
Albany,42.6,-73.97,21,74,100,2.59,US,1608418820
Lavrentiya,65.58,-171,2.8,91,87,14.07,RU,1608419391
Ushuaia,-54.8,-68.3,51.8,62,75,11.41,AR,1608418736
Mayo,38.89,-76.51,33.8,74,1,5.82,US,1608419391
Samarai,-10.62,150.67,82.83,70,13,2.21,PG,1608419161
Zhangjiakou Shi Xuanhua Qu,40.61,115.04,13.12,84,0,5.08,CN,1608419391
Jamestown,42.1,-79.24,33.01,80,75,12.75,US,1608418819
Labuhan,-6.88,112.21,77.7,83,100,8.19,ID,1608419392
Torbay,47.67,-52.73,32,92,90,16.11,CA,1608419153
Atar,20.52,-13.05,61.63,31,0,9.73,MR,1608419392
Narsaq,60.92,-46.05,15.8,72,16,4.7,GL,1608419162
Hithadhoo,-0.6,73.08,81.97,70,0,4.38,MV,1608418823
Paragominas,-2.97,-47.48,74.57,94,100,5.91,BR,1608419392
Santa Inês,-3.67,-45.38,76.39,94,100,4.38,BR,1608419393
Khovd,48.01,91.64,-3.87,87,0,1.99,MN,1608419339
Semnan,35.57,53.4,38.79,76,37,1.21,IR,1608419393
Punta Arenas,-53.15,-70.92,53.01,58,100,17,CL,1608418853
Upernavik,72.79,-56.15,7.34,93,91,8.37,GL,1608419173
Chokurdakh,70.63,147.92,-15.65,90,75,8.34,RU,1608419147
Norman Wells,65.28,-126.83,-41.8,64,75,2.24,CA,1608418821
Kavieng,-2.57,150.8,85.51,68,98,6.51,PG,1608418820
Filingué,14.35,3.32,75,19,7,7.65,NE,1608419393
Grants,35.15,-107.85,46.4,26,1,14.99,US,1608419393
Mamlyutka,54.94,68.54,-6.93,89,100,11.92,KZ,1608419394
Lata,40.16,-8.33,48.99,91,40,1.92,PT,1608419394
Perivoli,39.42,20.01,57.99,94,100,4.34,GR,1608419394
Cabo San Lucas,22.89,-109.91,75,60,40,9.17,MX,1608419126
General Roca,-39.03,-67.58,75.2,29,40,8.05,AR,1608419281
Hilo,19.73,-155.09,78.8,74,75,6.93,US,1608418750
Gazli,40.13,63.45,33.82,85,88,5.57,UZ,1608419394
Abu Samrah,35.3,37.18,52.02,72,65,5.17,SY,1608419154
Grindavik,63.84,-22.43,33.8,80,40,26.4,IS,1608419395
Eureka,40.8,-124.16,59,87,67,1.01,US,1608419395
São Filipe,14.9,-24.5,73.35,71,100,15.35,CV,1608418819
Tamala,52.54,43.25,10.18,96,93,10.04,RU,1608419395
Pauini,-7.71,-66.98,75.76,94,95,3.58,BR,1608419395
Port Keats,-14.25,129.55,80.22,87,100,12.48,AU,1608419205
Port Macquarie,-31.43,152.92,82,65,45,1.01,AU,1608419395
Funehikimachi-funehiki,37.43,140.58,26.6,68,40,11.41,JP,1608419395
Provideniya,64.38,-173.3,6.84,89,98,13.53,RU,1608419143
Esperance,-33.87,121.9,60.8,72,0,6.93,AU,1608419169
Khatanga,71.97,102.5,-21.1,87,100,6.24,RU,1608419145
Saint-Philippe,-21.36,55.77,75.2,78,0,3.36,RE,1608419148
Nakonde,-9.34,32.74,59.22,100,22,4.14,ZM,1608419396
Ubari,26.59,12.78,58.33,38,0,12.66,LY,1608419396
Gelibolu,40.41,26.67,46.4,87,40,6.93,TR,1608419396
Geraldton,-28.77,114.6,69.8,77,0,14.99,AU,1608419166
Chui,-33.7,-53.46,71.74,75,25,7.49,UY,1608419154
Bambanglipuro,-7.95,110.28,77.23,85,100,4.94,ID,1608418994
Porto-Novo,6.5,2.6,82.4,83,20,9.17,BJ,1608419396
Wexford,52.33,-6.46,44.01,86,96,1.01,IE,1608419115
Sept-Îles,50.2,-66.38,21.2,85,100,1.12,CA,1608419065
Saint Paul Harbor,57.79,-152.41,32,93,1,8.05,US,1608419144
Hay River,60.82,-115.8,-22,67,100,8.05,CA,1608419306
Puerto Ayora,-0.74,-90.35,80.6,65,0,12.75,EC,1608418912
Barrow,71.29,-156.79,-18.4,68,1,12.75,US,1608419142
Nikolskoye,59.7,30.79,37.4,93,90,4.47,RU,1608418821
Guarujá,-23.99,-46.26,81,26,1,4.56,BR,1608419397
Bilibino,68.05,166.44,-17.5,85,15,4.63,RU,1608419151
Hamilton,39.18,-84.53,43,60,90,5.82,US,1608419300
Lompoc,34.64,-120.46,62.6,45,1,16.11,US,1608419340
Kavaratti,10.57,72.64,81.41,72,0,7.92,IN,1608419163
Belaya Gora,68.53,146.42,-22.94,87,94,4.76,RU,1608419158
Fortuna,40.6,-124.16,62.01,76,90,3.65,US,1608419176
Agogo,6.8,-1.08,73.94,83,81,6.46,GH,1608419398
Codrington,-38.27,141.97,57.43,58,2,7.74,AU,1608419186
Asău,46.43,26.4,35.01,90,54,0.54,RO,1608419398
Mahébourg,-20.41,57.7,75.2,88,20,3.36,MU,1608419164
Kununurra,-15.77,128.73,77,100,75,10.29,AU,1608419398
Kilindoni,-7.91,39.67,81.39,75,51,7.56,TZ,1608419398
Dikson,73.51,80.55,-15.74,90,100,4.76,RU,1608419143
Oistins,13.07,-59.53,80.6,78,40,16.11,BB,1608419399
Saskylakh,71.92,114.08,-33.9,81,97,8.39,RU,1608419171
La Ronge,55.1,-105.28,3.2,71,100,12.75,CA,1608419399
Severo-Kuril'sk,50.68,156.12,28.8,92,95,5.44,RU,1608419171
Santa Luzia,-19.77,-43.85,80.6,73,40,9.17,BR,1608419248
Tiznit Province,29.58,-9.5,53.22,83,23,1.72,MA,1608419337
Newtonmore,57.07,-4.12,43,75,84,6.93,GB,1608419399
Ribeira Grande,38.52,-28.7,64.4,100,75,18.34,PT,1608419143
Kenai,60.55,-151.26,19.99,85,90,5.82,US,1608419400
Farah,32.5,62.5,46.63,58,100,6.4,AF,1608419400
Caucaia,-3.74,-38.65,82.4,74,40,11.41,BR,1608419296
Butaritari,3.07,172.79,81.72,77,95,16.24,KI,1608418818
Atuona,-9.8,-139.03,79.12,73,1,18.07,PF,1608419142
Yellowknife,62.46,-114.35,-18.4,68,75,4.7,CA,1608419146
Vostok,46.49,135.88,-19.21,89,31,5.97,RU,1608419400
Rio Grande,-32.03,-52.1,75.99,82,40,13.42,BR,1608419178
Iquitos,-3.75,-73.25,78.8,83,40,3.36,PE,1608419400
Iwanai,42.97,140.51,19.44,91,94,7.87,JP,1608419401
Port Lincoln,-34.73,135.87,62.37,71,12,13.49,AU,1608419148
Bengkulu,-3.8,102.27,73.74,81,95,4.16,ID,1608419154
Baft,29.23,56.61,38.46,86,66,2.95,IR,1608419403
Lagoa,39.05,-27.98,63.88,95,95,27.4,PT,1608419150
Zamora,-4.07,-78.96,75.2,64,75,16.11,EC,1608419403
Uyuni,-20.46,-66.83,64.69,17,70,5.23,BO,1608419170
Son La,21.32,103.9,46.8,68,93,1.99,VN,1608419404
Descalvado,-21.9,-47.62,77,83,75,6.93,BR,1608419404
Turaif,31.67,38.66,44.6,100,0,6.93,SA,1608419404
Booué,-0.09,11.94,73.56,93,100,2.13,GA,1608419405
San Quintín,30.48,-115.95,65.5,40,0,10.83,MX,1608419405
Tiksi,71.69,128.87,-24.83,85,91,1.45,RU,1608419143
Oriximiná,-1.77,-55.87,80.26,74,29,2.17,BR,1608419405
San Borja,-14.82,-66.85,83.8,64,38,4.81,BO,1608419405
Christchurch,-43.53,172.63,70,63,11,23.04,NZ,1608418921
Marathon,44.9,-89.77,32,97,90,3.36,US,1608419405
Vestmannaeyjar,63.44,-20.27,38.39,74,0,18.07,IS,1608419150
Pringsewu,-5.36,104.97,71.56,90,88,1.01,ID,1608419195
Bredasdorp,-34.53,20.04,60.8,93,0,1.12,ZA,1608419143
Tura,25.52,90.22,52.81,87,0,3.36,IN,1608419406
Lorengau,-2.02,147.27,84.49,72,98,6.98,PG,1608419178
Mar del Plata,-38,-57.56,57.2,93,90,13.87,AR,1608419148
Arraial do Cabo,-22.97,-42.03,77,88,0,11.41,BR,1608419150
Peremyshl',54.26,36.16,32,98,83,4.47,RU,1608419406
The Valley,18.22,-63.06,80.6,78,40,9.17,AI,1608419407
Dzilam González,21.28,-88.93,75.27,78,50,7.63,MX,1608419407
São João da Barra,-21.64,-41.05,76.64,88,58,16.17,BR,1608419339
Deputatsky,69.3,139.9,-28.48,88,69,0.65,RU,1608419183
Alto Longá,-5.25,-42.21,85.64,52,72,3.71,BR,1608419110
Carlyle,38.61,-89.37,44.01,89,99,1.01,US,1608419408
Camocim,-2.9,-40.84,80.82,72,26,17.43,BR,1608419408
Rundu,-17.93,19.77,72.72,69,88,6.98,NA,1608419408
Camacha,33.08,-16.33,59,82,20,5.82,PT,1608419181
Osinki,52.84,49.51,-3.39,90,100,6.73,RU,1608419408
Tshikapa,-6.42,20.8,69.64,94,100,1.28,CD,1608419240
Krasnosel'kup,65.7,82.47,-21.26,87,92,8.57,RU,1608419408
Srednekolymsk,67.45,153.68,-33.29,83,17,4.92,RU,1608419409
Nísia Floresta,-6.09,-35.21,80.6,74,40,11.41,BR,1608419409
Airai,-8.93,125.41,66.54,92,99,2.89,TL,1608419153
Gamba,-2.65,10,72.72,91,68,4.14,GA,1608419409
Bethel,41.37,-73.41,25,68,1,2.01,US,1608419153
Touba,8.28,-7.68,78.1,55,21,2.71,CI,1608419409
Allen,41.07,-85.01,37.99,93,90,5.82,US,1608419265
Nioro,13.35,-15.75,75.09,19,34,8.61,GM,1608419410
Oranjemund,-28.55,16.43,62.19,90,28,9.35,NA,1608419190
Laguna,38.42,-121.42,57.2,58,1,5.82,US,1608419286
Brønnøysund,65.46,12.2,48.2,61,75,6.93,NO,1608419153
Gatesville,31.44,-97.74,62.6,42,1,9.17,US,1608419162
Margate,51.38,1.39,46.99,80,91,5.01,GB,1608419177
Ponta do Sol,32.67,-17.1,64.4,68,40,13.87,PT,1608419144
Teahupoo,-17.83,-149.27,86,66,40,16.11,PF,1608419410
Gubkin,51.28,37.55,20.44,98,70,2.68,RU,1608419410
Flin Flon,54.77,-101.86,6.8,71,90,13.87,CA,1608419411
Riachão das Neves,-11.75,-44.91,80.4,53,84,3.71,BR,1608419411
Palana,59.12,159.97,3.97,96,58,7.11,RU,1608419411
George,-33.96,22.46,66.2,100,20,4.7,ZA,1608419412
Talnakh,69.49,88.4,-38.2,72,40,11.18,RU,1608419157
Pacific Grove,36.62,-121.92,62.01,47,1,5.82,US,1608419412
Durango,24.83,-104.83,62.02,31,74,8.79,MX,1608419280
Skibbereen,51.55,-9.27,41,100,75,8.05,IE,1608419413
Maragogi,-9.01,-35.22,78.08,77,4,10.65,BR,1608419345
Young,-32.68,-57.63,73,55,0,8.01,UY,1608419413
Hong Kong,22.29,114.16,54,67,98,1.99,HK,1608418977
Aklavik,68.22,-135.01,-36.4,65,20,4.7,CA,1608419043
Praia,14.92,-23.51,73.4,69,75,20.8,CV,1608419191
Faanui,-16.48,-151.75,80.04,76,92,11.27,PF,1608419142
Boksitogorsk,59.47,33.85,32,94,100,1.01,RU,1608419414
Thompson,55.74,-97.86,-5.8,76,90,5.82,CA,1608419144
Binabalian Ricor,16.42,119.93,78.75,81,100,10.07,PH,1608419414
La Uvita,6.32,-72.56,54.72,86,55,1.68,CO,1608419414
Alta Floresta,-9.88,-56.09,75.85,88,94,1.81,BR,1608419180
Chapais,49.78,-74.85,23,92,90,6.93,CA,1608419165
Cherskiy,68.75,161.3,-28.66,85,2,2.26,RU,1608418824
Shimoda,34.67,138.95,35.01,74,9,1.01,JP,1608418991
Ulladulla,-35.35,150.47,68,82,90,5.82,AU,1608419184
San Patricio,28.02,-97.52,78.8,54,40,17.22,US,1608418818
Dombarovskiy,50.76,59.54,-7.73,89,3,10.27,RU,1608419415
Okha,53.57,142.95,-6.21,90,100,17.36,RU,1608419415
Vardø,70.37,31.11,27.1,97,100,5.46,NO,1608419148
Fort Nelson,58.81,-122.7,-11.2,69,75,2.17,CA,1608419342
Iqaluit,63.75,-68.51,17.6,85,90,27.51,CA,1608419177
Pīpār,26.39,73.54,55.04,34,96,8.5,IN,1608419415
Buala,-8.14,159.59,85.91,68,4,6.78,SB,1608419189
Sokolo,14.73,-6.12,74.43,20,0,14.23,ML,1608419415
Melville,40.79,-73.42,32,93,1,3.36,US,1608419416
Viedma,-40.81,-63,57.99,65,63,8.01,AR,1608419161
Richards Bay,-28.78,32.04,75.06,78,0,15.43,ZA,1608419160
Mareeba,-17,145.43,90,63,43,1.99,AU,1608419338
Rovnoye,50.78,46.05,11.77,90,100,7.74,RU,1608419416
Utiel,39.57,-1.2,46,80,100,4.68,ES,1608419416
Natal,-5.79,-35.21,80.6,74,40,11.41,BR,1608419407
Surab,28.49,66.26,41.79,56,76,0.81,PK,1608419417
Port Blair,11.67,92.75,79.65,81,22,11.54,IN,1608419417
Jāwā,31.85,35.94,50,76,0,7.52,JO,1608419417
Chateaubelair,13.28,-61.25,80.6,78,40,14.99,VC,1608419417
George Town,5.41,100.34,77,94,40,9.17,MY,1608418989
Constitución,-35.33,-72.42,57.88,69,55,17.09,CL,1608419189
Waterloo,43.47,-80.52,32,98,90,8.05,CA,1608419191
Pangnirtung,66.15,-65.71,11.48,79,100,11.83,CA,1608419154
Coquimbo,-29.95,-71.34,62.6,67,0,13.87,CL,1608419270
Los Llanos de Aridane,28.66,-17.92,64.4,77,0,6.93,ES,1608418822
Dianalund,55.53,11.49,43,100,55,2.24,DK,1608419418
Loon,9.8,123.79,78.8,94,90,2.24,PH,1608419418
Berbera,10.44,45.01,78.31,82,99,9.73,SO,1608419168
Walvis Bay,-22.96,14.51,61,87,39,9.17,NA,1608419418
Shellbrook,53.22,-106.4,17.6,72,75,23.04,CA,1608419418
Ust-Maya,60.42,134.53,-29.97,84,100,2.57,RU,1608419418
Vega de Alatorre,20.03,-96.63,75.96,80,68,7.27,MX,1608419419
Zhigansk,66.77,123.37,-41.62,79,78,7.23,RU,1608419172
Moussoro,13.64,16.49,69.3,23,0,11.07,TD,1608419419
Vila Franca do Campo,37.72,-25.43,62.6,100,75,14.99,PT,1608419161
Thanh Pho Uong Bi,21.03,106.78,57.2,50,90,8.05,VN,1608419419
Mt. Pleasant,32.79,-79.86,51.01,87,20,6.89,US,1608419420
Kahului,20.89,-156.47,84.2,58,40,24.16,US,1608419147
Apiaí,-24.51,-48.84,68.56,100,63,2.06,BR,1608419265
Mossamedes,-15.2,12.15,69.08,72,86,1.1,AO,1608419152
Catuday,16.29,119.81,76.23,88,100,9.19,PH,1608419420
Bud,39.45,-86.18,39.99,93,90,9.17,US,1608419189
Safi,32.3,-9.24,59.31,70,24,2.84,MA,1608419420
Örnsköldsvik,63.29,18.72,37.4,100,90,3.36,SE,1608419420
Lamar,33.67,-95.58,50,93,90,6.93,US,1608419420
Farnes,61.32,7.8,37.54,81,100,6.49,NO,1608419421
Manacapuru,-3.3,-60.62,75.2,94,75,3.36,BR,1608419360
Avilés,43.55,-5.92,52,76,40,6.93,ES,1608419378
Saldanha,-33.01,17.94,66.2,68,0,11.41,ZA,1608419189
Kalanguy,51.02,116.52,-1.82,91,14,3.65,RU,1608419421
Fort Payne,34.44,-85.72,50,71,75,5.82,US,1608419212
Buchanan,5.88,-10.05,79.5,83,62,7.31,LR,1608419422
Pandan,14.05,124.17,78.93,88,100,15.82,PH,1608419423
Verkhoyansk,67.54,133.38,-39.37,79,22,0.74,RU,1608419197
Banikoara,11.3,2.44,73.74,20,20,4.81,BJ,1608419423
Guilin,25.28,110.29,39.2,64,75,2.24,CN,1608419423
Watsa,3.04,29.54,66.11,57,56,2.57,CD,1608419423
Ternate,0.8,127.4,81.34,79,100,7.65,ID,1608419423
Almaznyy,48.04,40.05,30.2,100,90,6.71,RU,1608419423
Leningradskiy,69.38,178.42,2.48,92,100,2.95,RU,1608419169
Tārānagar,28.67,75.04,53.28,32,99,6.35,IN,1608419424
Algiers,36.75,3.04,57.2,93,75,3.36,DZ,1608419235
Kisangani,0.52,25.2,69.93,95,80,3.51,CD,1608419424
Babat,-7.11,112.16,74.91,90,100,5.46,ID,1608419424
Hirara,24.8,125.28,64.4,77,75,18.34,JP,1608419424
Kokorevka,52.59,34.28,33.04,99,100,3.62,RU,1608419424
Huainan,32.63,117,31.75,83,7,2.19,CN,1608419425
Ode,7.79,5.71,78.26,67,88,6.55,NG,1608419425
Lensk,60.73,114.93,14.61,93,100,12.15,RU,1608419425
Haines Junction,60.75,-137.51,7.11,90,100,2.26,CA,1608419149
Tres Arroyos,-38.37,-60.28,56.21,74,98,20.02,AR,1608419425
San Francisco del Mar Viejo,16.23,-94.65,83.19,66,0,16.46,MX,1608419425
Ancud,-41.87,-73.82,59,67,75,2.24,CL,1608419425
Forsytheganj,52.63,29.73,33.48,97,74,2.95,BY,1608419160
Great Yarmouth,52.61,1.73,46.99,87,19,9.17,GB,1608419280
Voh,-20.97,164.7,84.47,47,0,4.18,NC,1608419426
Puerto Escondido,15.85,-97.07,82.4,74,40,2.26,MX,1608419197
Laas,46.62,10.7,33.01,86,5,1.68,IT,1608419426
Baykit,61.67,96.37,-11.78,84,78,4.36,RU,1608419426
Haradok,55.46,29.98,34.39,97,100,6.78,BY,1608419426
Neiafu,-18.65,-173.98,77,94,75,16.11,TO,1608419426
Fairbanks,64.84,-147.72,-7.01,69,75,4.7,US,1608419053
