City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Yulara,-25.24,130.99,71.6,73,79,5.82,AU,1608419156
Tegul'det,57.31,88.17,5.76,94,100,5.17,RU,1608419427
Saint George,37.1,-113.58,53.01,33,1,1.36,US,1608419141
Karratha,-20.74,116.85,92.8,28,97,14.52,AU,1608419196
Misratah,32.38,15.09,63.99,71,56,17.69,LY,1608419427
Yangi Marg`ilon,40.43,71.72,32,75,100,6.93,UZ,1608419427
Olinda,-8.01,-34.86,78.8,69,40,8.05,BR,1608419163
Comodoro Rivadavia,-45.87,-67.5,64.4,48,40,18.34,AR,1608419427
Nanortalik,60.14,-45.24,19.6,92,32,7.81,GL,1608419427
Te Anau,-45.42,167.72,58.69,71,91,3.56,NZ,1608419428
Klaksvík,62.23,-6.59,42.8,100,35,5.82,FO,1608419146
Wollongong,-34.43,150.88,73.99,76,100,1.99,AU,1608419428
Deer Lake,49.17,-57.43,24.8,85,90,2.24,CA,1608419186
Chambishi,-12.63,28.05,62.49,95,74,5.59,ZM,1608419428
São Borja,-28.66,-56,80.08,73,29,8.52,BR,1608419428
San Policarpo,12.18,125.51,80.4,86,100,16.22,PH,1608419428
Bouna,9.27,-3,80.29,26,12,3.13,CI,1608419429
Collie,-33.37,116.15,59,78,25,1.99,AU,1608419429
Oga,46.46,10.35,48,100,90,2.82,IT,1608419194
Doha,25.29,51.53,68,68,0,6.93,QA,1608419195
Cravo Norte,6.3,-70.2,79.45,73,17,5.91,CO,1608419429
Taoudenni,22.68,-3.98,60.64,37,0,9.95,ML,1608419429
Puerto Colombia,10.99,-74.95,82.4,78,0,17.22,CO,1608419429
Brae,60.4,-1.35,48.2,76,37,24.16,GB,1608418914
Padang,-0.95,100.35,76.57,72,99,3.76,ID,1608419185
Nouadhibou,20.93,-17.03,64.4,68,0,18.34,MR,1608419430
Plettenberg Bay,-34.05,23.37,68.04,89,24,4.27,ZA,1608419430
Luba,3.46,8.55,75.2,100,20,2.24,GQ,1608419430
Mount Isa,-20.73,139.5,77,83,90,13.87,AU,1608419430
Kholtoson,50.3,103.31,-3.59,85,0,4.05,RU,1608419430
Lockhart,28.62,-81.44,71.6,56,90,10.29,US,1608419200
Cayenne,4.93,-52.33,77,94,75,6.93,GF,1608419184
Ambilobe,-13.2,49.05,75.72,88,21,2.17,MG,1608419049
Gobabis,-22.45,18.97,71.6,73,100,9.17,NA,1608419431
Boa Esperança,-21.09,-45.57,72.1,83,20,1.9,BR,1608419431
Alice Springs,-23.7,133.88,80.01,74,90,4.7,AU,1608418964
Gondanglegi,-7.75,112.01,75.11,87,100,7.23,ID,1608419431
Palmer,42.16,-72.33,27,57,75,2.44,US,1608419275
Kruisfontein,-34,24.73,70,93,23,3,ZA,1608419155
San Fernando del Valle de Catamarca,-28.47,-65.79,73.99,49,1,1.99,AR,1608419431
Vangaindrano,-23.35,47.6,75.22,91,98,5.19,MG,1608419432
Jiangkou,25.49,119.2,50,66,75,8.95,CN,1608419432
East London,-33.02,27.91,73.78,92,11,7.74,ZA,1608419148
Sur,22.57,59.53,65.89,66,10,1.81,OM,1608419165
Agirish,61.92,63.02,8.17,87,47,14.2,RU,1608419432
Carnarvon,-24.87,113.63,73.4,88,0,23.04,AU,1608419433
Kaitangata,-46.28,169.85,60.01,66,58,11.99,NZ,1608419171
Batagay,67.63,134.63,-39.62,79,9,1.14,RU,1608419188
Cotonou,6.37,2.42,82.4,83,20,9.17,BJ,1608419371
Mount Gambier,-37.83,140.77,57.2,58,0,12.75,AU,1608419157
Darnah,32.77,22.64,59.23,77,1,8.7,LY,1608419433
Phalombe,-15.81,35.65,69.53,89,100,3.38,MW,1608419433
Saint-Augustin,51.23,-58.65,15.84,87,0,4.41,CA,1608419344
Horsham,51.06,-0.33,48,93,40,6.93,GB,1608419433
Nemuro,43.32,145.57,24.96,91,95,29.55,JP,1608419341
Arevik,40.1,44.09,26.6,86,33,1.95,AM,1608419434
Tutóia,-2.76,-42.27,81.18,78,26,14.14,BR,1608419434
Yar-Sale,66.83,70.83,8.8,95,100,9.46,RU,1608419189
Aswān,24.09,32.91,59.63,61,96,8.23,EG,1608419194
Ilulissat,69.22,-51.1,10.4,60,95,19.46,GL,1608419207
Moerai,-22.43,-151.33,80.42,76,100,17.07,PF,1608419434
Katsuura,35.13,140.3,41,44,0,1.01,JP,1608419164
Quesnel,53,-122.5,35.6,74,90,11.41,CA,1608419434
Lüderitz,-26.65,15.16,60.8,87,10,10.29,NA,1608419149
Bitkine,11.98,18.21,67.46,23,87,6.17,TD,1608419435
New Norfolk,-42.78,147.06,60.01,68,80,1.01,AU,1608419435
Mpanda,-6.37,31.04,63,96,90,1.14,TZ,1608419435
San Miguel de Tucumán,-26.82,-65.22,87.8,25,0,6.93,AR,1608419172
Tromsø,69.65,18.96,33.8,69,75,6.93,NO,1608419428
Novoasbest,57.74,60.29,4.21,85,0,6.87,RU,1608419435
San Vicente,-26.62,-54.13,71.69,100,76,0.63,AR,1608419189
Gao,16.64,1.64,74.08,21,3,7.81,ML,1608419435
Santo Antônio de Jesus,-12.97,-39.26,75.6,73,100,6.22,BR,1608419350
Bhagwantnagar,26.23,80.75,41,93,1,5.55,IN,1608419435
Flinders,-34.58,150.86,73.99,76,100,1.99,AU,1608419176
Kondopoga,62.21,34.26,26.6,92,90,3.27,RU,1608419436
Dukat,62.55,155.55,-29.81,84,86,3.31,RU,1608419436
Alofi,-19.06,-169.92,86,66,100,11.41,NU,1608419149
Kupang,-10.17,123.58,75.2,100,90,4.7,ID,1608419342
Boddam,57.47,-1.78,44.01,87,75,17.22,GB,1608419436
Trairi,-3.28,-39.27,79.43,76,97,10.36,BR,1608419169
High Level,58.52,-117.14,-7.6,76,75,2.24,CA,1608419436
Boa Vista,2.82,-60.67,84.2,62,40,9.17,BR,1608419150
Farafangana,-22.82,47.83,76.01,89,99,6.85,MG,1608419437
Zarechnyy,53.2,45.19,9.7,92,100,6.35,RU,1608419437
Dyurtyuli,55.49,54.87,-8.63,88,0,0.45,RU,1608419437
Avera,33.19,-82.53,46.4,65,1,3.36,US,1608419169
Kerman,30.28,57.08,39.2,100,90,6.93,IR,1608419231
Paamiut,61.99,-49.67,23.16,87,10,8.01,GL,1608419177
Mehamn,71.04,27.85,29.37,95,98,22.26,NO,1608419188
Karaton,-6.34,106.1,79,88,40,12.75,ID,1608419438
Sapele,5.89,5.68,77.54,89,89,3.98,NG,1608419183
Montepuez,-13.13,39,71.53,90,87,5.21,MZ,1608419438
Fountain Hills,33.61,-111.72,66,20,1,5.82,US,1608419422
Sheregesh,52.92,87.99,15.44,93,100,3,RU,1608419438
Hualmay,-11.1,-77.61,70.43,74,37,11.54,PE,1608419159
Hobyo,5.35,48.53,78.94,78,21,17.81,SO,1608419438
Fairmont,39.49,-80.14,35.01,89,100,4.21,US,1608419167
Vestmanna,62.16,-7.17,42.8,100,79,5.82,FO,1608419439
Hambantota,6.12,81.12,76.68,88,92,16.96,LK,1608419439
Morro Bay,35.37,-120.85,69.01,52,2,3,US,1608419439
Matara,5.95,80.54,75.18,90,80,6.91,LK,1608419338
Abu Dhabi,24.47,54.37,69.8,83,20,12.24,AE,1608419439
Panabá,21.28,-88.27,72.5,85,62,8.84,MX,1608419439
Ardakān,32.31,54.02,40.48,83,16,5.17,IR,1608419439
Dhidhdhoo,6.88,73.1,82.51,76,98,8.21,MV,1608419349
Guerrero Negro,27.98,-114.06,70.3,24,0,10.74,MX,1608419154
Preiļi,56.29,26.72,33.57,97,94,5.91,LV,1608419440
Dingle,11,122.67,77.81,90,86,2.98,PH,1608419163
Cedar Rapids,42.01,-91.64,28.99,86,90,9.17,US,1608419440
Lodi,38.13,-121.27,57.99,71,0,3,US,1608419350
Dalby,-27.18,151.27,77,69,90,13.87,AU,1608419440
Bubaque,11.28,-15.83,81.5,70,0,10.27,GW,1608419440
Cuiluan,47.72,128.65,-7.71,86,0,4.38,CN,1608419440
Shingū,33.73,135.98,42.8,60,40,18.34,JP,1608419440
Mahon,39.89,4.27,51.8,93,0,1.12,ES,1608419441
Jhajha,24.77,86.37,49.73,47,0,4.27,IN,1608419441
Puerto Madero,14.72,-92.42,86,66,40,8.05,MX,1608419441
Saint-Pierre,-21.34,55.48,75.2,78,0,3.36,RE,1608419177
Sisimiut,66.94,-53.67,12.07,89,83,10.47,GL,1608419441
Harper,4.38,-7.72,78.66,85,50,8.05,LR,1608418991
Bilma,18.69,12.92,64.13,28,0,6.49,NE,1608419186
Worland,44.02,-107.96,37.4,59,1,5.82,US,1608419442
Nehe,48.48,124.83,-0.11,89,0,5.73,CN,1608419442
Milove,49.38,40.13,25.27,99,86,1.52,UA,1608419442
Mandalgovi,45.76,106.27,2.37,81,23,5.35,MN,1608419442
Itoman,26.12,127.67,62.6,67,75,16.11,JP,1608419193
Tilichiki,60.47,166.1,-4.38,94,100,14.92,RU,1608419151
Kargasok,59.06,80.86,-22.22,87,0,4.45,RU,1608419442
Florø,61.6,5.03,44.6,87,100,26.4,NO,1608419442
La Paz,-16.5,-68.15,50,66,75,8.05,BO,1608419442
Hatillo,18.49,-66.83,75.99,88,40,8.05,PR,1608419442
Düzce,40.84,31.16,43.39,72,38,1.45,TR,1608419442
Matamoros,25.53,-103.25,73.4,20,20,7.99,MX,1608419168
Strezhevoy,60.73,77.59,-5.8,76,90,8.95,RU,1608419443
Katherine,-14.47,132.27,80.6,83,40,4.7,AU,1608419443
Mīrābād,30.44,61.84,47.7,64,79,11.74,AF,1608419443
Iskateley,67.68,53.15,20.93,97,99,22.64,RU,1608419170
Wajir,1.75,40.06,79.23,68,5,8.48,KE,1608419443
Guozhen,34.37,107.36,30.13,77,2,0.94,CN,1608419443
Hasaki,35.73,140.83,32,60,20,10.29,JP,1608418910
Kieta,-6.22,155.63,85.06,68,16,5.66,PG,1608419444
Soyo,-6.13,12.37,76.78,83,100,5.77,AO,1608419444
Kidal,18.44,1.41,70.05,23,0,7.49,ML,1608419444
Singojuruh,-8.32,114.23,74.08,88,100,3.69,ID,1608419444
Pisco,-13.7,-76.22,73.4,73,0,16.11,PE,1608419147
Yanam,16.73,82.22,69.57,83,8,4.85,IN,1608419445
Sinjai,-5.12,120.25,77.25,80,100,4.94,ID,1608419445
Tereze,43.94,42.44,32,94,75,11.18,RU,1608419445
Shebalino,51.29,85.68,21.25,86,100,7.18,RU,1608419445
Vernon,50.26,-119.27,43,73,82,3.36,CA,1608419445
Atasū,48.68,71.64,20.12,97,100,18.34,KZ,1608419445
Sorong,-0.88,131.25,82.81,81,100,12.71,ID,1608419445
Al Bardīyah,31.76,25.09,60.33,65,58,6.76,LY,1608419446
Ugoofaaru,5.67,73,82.85,78,90,22.91,MV,1608419446
Kautokeino,69.01,23.04,22.93,97,100,7.34,NO,1608419446
Östersund,63.18,14.64,39.2,86,85,12.75,SE,1608419172
Alamosa,37.47,-105.87,30.2,50,1,1.83,US,1608419446
Naze,28.37,129.48,59,58,75,12.75,JP,1608419446
Griffith,41.53,-87.42,44.6,75,90,6.93,US,1608419446
Port-Gentil,-0.72,8.78,80.6,88,75,8.05,GA,1608419145
Luga,58.74,29.85,36.14,97,100,5.79,RU,1608419447
Tuatapere,-46.13,167.68,62.01,60,84,7,NZ,1608419447
Clyde River,70.47,-68.59,-0.4,77,90,5.82,CA,1608419156
Abrau-Dyurso,44.69,37.59,32,82,94,8.95,RU,1608419447
Hsinchu,24.8,120.97,62.01,89,93,10,TW,1608419276
Presidencia Roque Sáenz Peña,-26.79,-60.44,80.01,64,82,5.01,AR,1608419447
Tambura,5.6,27.47,72.82,27,0,1.9,SS,1608419447
Lālganj,25.87,85.18,44.6,87,0,4,IN,1608419448
Lahad Datu,5.03,118.33,78.22,88,100,3.51,MY,1608419448
Vila Velha,-20.33,-40.29,84,88,75,11.41,BR,1608419448
Billings Metropolitan Area,45.78,-108.5,46.4,36,75,23.04,US,1608419448
Manavālakurichi,8.13,77.3,77,69,20,1.12,IN,1608419448
Chicama,-7.84,-79.15,68,88,21,8.05,PE,1608419448
Gimli,50.63,-96.99,24.8,67,100,23.04,CA,1608419448
Manavgat,36.79,31.44,55,75,0,4.7,TR,1608419449
Khani,41.96,42.96,39.2,86,40,3.36,GE,1608419450
Parabel',58.7,81.48,-22.43,87,12,4.07,RU,1608419450
Oddur,4.12,43.89,76.21,66,0,12.33,SO,1608419450
Salé,34.04,-6.82,55.4,87,75,5.82,MA,1608419450
Gwembe,-16.5,27.61,65.95,95,100,3.53,ZM,1608419450
Sennar,13.57,33.57,73.22,31,44,12.06,SD,1608419450
Lárdos,36.09,28.02,59,87,20,3.36,GR,1608419450
Khargone,21.82,75.6,58.24,34,70,5.06,IN,1608419450
São Bartolomeu de Messines,37.26,-8.29,53.6,93,0,5.82,PT,1608419451
Baruun-Urt,46.68,113.28,-3.23,86,0,11.54,MN,1608419451
Raja,8.46,25.68,65.34,30,15,2.77,SS,1608419451
Rawson,-43.3,-65.1,57.24,57,0,10.16,AR,1608418853
Taksimo,56.34,114.88,-10.44,86,97,0.27,RU,1608419451
La Cruz,23.92,-106.9,75.99,70,11,8.01,MX,1608419451
San Onofre,9.74,-75.53,78.46,84,2,7.38,CO,1608419451
Aksu,41.12,80.26,12.02,91,0,1.32,CN,1608419452
Léo,11.1,-2.1,76.66,20,52,5.73,BF,1608419452
Bathsheba,13.22,-59.52,80.6,78,40,16.11,BB,1608419452
Petropavlovsk-Kamchatskiy,53.05,158.65,14,72,97,11.18,RU,1608419452
Broken Hill,-31.95,141.43,71.6,19,100,9.17,AU,1608419337
Mbanza-Ngungu,-5.25,14.87,69.08,98,100,6.24,CD,1608419452
Conde,-7.26,-34.91,80.6,74,40,6.93,BR,1608419452
Guarda,40.54,-7.27,46,95,39,2.86,PT,1608419453
Alpinópolis,-20.86,-46.39,71.26,86,44,1.57,BR,1608419453
Corinth,37.94,22.96,52,72,60,1.99,GR,1608419453
Itarema,-2.92,-39.92,79.92,77,66,14.92,BR,1608419187
Āsosa,10.07,34.53,66.07,40,14,4.47,ET,1608419454
Kuching,1.55,110.33,75.2,100,40,3.36,MY,1608419454
Assiut,27.18,31.18,55.4,82,0,9.17,EG,1608419454
Ciudad Bolivar,8.12,-63.55,81.19,68,31,10.98,VE,1608418948
Cidreira,-30.18,-50.21,72.64,93,100,13.96,BR,1608419142
Bull Savanna,17.89,-77.59,75.76,79,6,4.68,JM,1608419187
Vanavara,60.34,102.28,8.44,93,100,10.83,RU,1608419455
Caravelas,-17.71,-39.25,78.26,82,46,9.24,BR,1608419455
Manyana,-23.4,21.72,71.58,73,100,14.52,BW,1608419455
Srirāmpur,22.95,88.02,53.6,81,0,3.36,IN,1608419455
San Jerónimo,-11.95,-75.28,57.49,64,87,4.74,PE,1608419455
Bariloche,-41.15,-71.31,57.2,47,40,25.28,AR,1608419198
Omboué,-1.57,9.26,76.12,90,83,4.61,GA,1608419455
Puerto Carreño,6.19,-67.49,81.88,65,11,9.28,CO,1608419455
Longyearbyen,78.22,15.64,5,54,0,17.22,SJ,1608418898
Nacala,-14.54,40.67,78.26,80,93,1.48,MZ,1608419456
Souris,49.62,-100.26,37.99,69,75,14.99,CA,1608419456
Maraã,-1.83,-65.37,75.45,96,81,1.14,BR,1608419456
Berlevåg,70.86,29.09,29.05,96,100,19.01,NO,1608419456
Jinji,23.23,110.83,40.87,68,54,2.73,CN,1608419456
Rovinj,45.08,13.64,50,87,75,3.36,HR,1608419456
Southbridge,42.08,-72.03,27,48,100,2.89,US,1608419456
Tongzi,28.78,105.09,39.47,77,0,2.06,CN,1608419457
Dom Pedrito,-30.98,-54.67,73.22,72,17,5.28,BR,1608419457
Homer,59.64,-151.55,25,85,75,3.36,US,1608419457
Cap Malheureux,-19.98,57.61,75,86,2,1.99,MU,1608419188
Papayal,-4.08,-80.74,79.86,52,47,5.35,PE,1608419457
Kamenka,51.32,42.77,24.01,94,99,11.18,RU,1608419146
Rognan,67.1,15.39,41,80,100,1.01,NO,1608419457
Māngrol,21.12,70.12,67.96,50,31,11.9,IN,1608419196
Klyuchi,52.27,79.17,19.36,96,100,8.77,RU,1608419457
Prince Rupert,54.32,-130.32,41,86,90,5.82,CA,1608419417
Hoquiam,46.98,-123.89,48.99,93,90,11.41,US,1608419458
Nizhniy Odes,63.64,54.86,10.38,95,100,13.49,RU,1608419458
South Venice,27.05,-82.42,68,68,20,9.33,US,1608419458
Adrar,20.5,-10.07,59.36,34,0,10.36,MR,1608419458
Buta,2.79,24.73,70.21,78,64,1.05,CD,1608419179
Banda Aceh,5.56,95.32,77.09,79,100,7.47,ID,1608419178
Kalmunai,7.42,81.82,77,88,99,12.1,LK,1608419151
La Unión,-5.4,-80.75,79.02,51,32,17.58,PE,1608419458
Seddon,-37.81,144.89,63,55,20,9.17,AU,1608419459
Ambon City,-3.7,128.18,77,94,40,6.93,ID,1608419159
Nome,64.5,-165.41,-9.4,63,20,2.77,US,1608419043
Hofn,64.25,-15.21,39.51,71,100,14.07,IS,1608419142
Stornoway,58.21,-6.39,45,93,83,20.8,GB,1608419459
Fort Dodge,42.5,-94.17,30.2,63,1,5.82,US,1608419335
Paraty,-23.22,-44.71,82.4,65,40,6.93,BR,1608419429
Henties Bay,-22.12,14.28,61,91,96,5.82,NA,1608419459
Toamasina,-18.17,49.38,77,94,75,2.24,MG,1608419460
Karpushikha,57.5,59.9,2.05,85,0,5.39,RU,1608419460
Touros,-5.2,-35.46,78.8,78,40,4.7,BR,1608419460
Namatanai,-3.67,152.43,83.82,72,97,6.55,PG,1608419148
Meadow Lake,34.8,-106.54,46.99,36,1,4.7,US,1608419460
Ocoee,28.57,-81.54,66.99,75,94,1.99,US,1608419460
Bourail,-21.57,165.48,80.98,52,0,6.08,NC,1608419461
Meulaboh,4.14,96.13,74.68,89,99,2.89,ID,1608419166
Masuguru,-11.37,38.42,75.16,82,100,3.89,TZ,1608419461
Grenchen,47.19,7.4,37.99,100,40,4.7,CH,1608419461
Husavik,66.04,-17.34,32,95,90,14.99,IS,1608419176
Estelle,29.85,-90.11,64.99,72,75,13.87,US,1608419462
Ensenada,31.87,-116.62,64.99,64,0,4.99,MX,1608419450
Suntar,62.14,117.63,9.19,95,100,3.76,RU,1608419336
Tongren,27.72,109.19,34.61,78,0,1.34,CN,1608419462
Kloulklubed,7.04,134.26,80.6,88,75,19.57,PW,1608419462
Port Hardy,50.7,-127.42,44.6,93,90,27.51,CA,1608418980
Annau,37.89,58.52,41,80,90,6.93,TM,1608419462
Pangody,65.85,74.49,5.29,94,99,14.34,RU,1608419336
Vredendal,-31.67,18.5,63.81,76,0,3.2,ZA,1608419463
Kattivākkam,13.22,80.32,75.2,94,40,11.86,IN,1608419463
Batemans Bay,-35.72,150.18,69.01,74,100,6.08,AU,1608419463
Jalu,29.03,21.55,56.03,69,45,9.91,LY,1608419463
Makakilo City,21.35,-158.09,82.4,58,40,16.11,US,1608419192
Dresden,51.05,13.74,37,80,0,20.8,DE,1608419304
Gilleleje,56.12,12.31,43,92,28,14.83,DK,1608419463
Remedios,22.49,-79.55,71.6,94,75,5.82,CU,1608419463
Marsh Harbour,26.54,-77.06,70.54,74,96,18.21,BS,1608419118
Havøysund,71,24.66,26.6,73,0,28.86,NO,1608419149
Nuuk,64.18,-51.72,17.6,78,0,13.87,GL,1608419464
Province of Brindisi,40.58,17.67,54,100,99,5.82,IT,1608419306
Huntsville,34.73,-86.59,51.8,70,75,5.82,US,1608419273
Broome,42.25,-75.83,23,79,1,3.36,US,1608419465
Ilhabela,-23.78,-45.36,76.68,87,27,6.98,BR,1608419297
Gunjur,13.2,-16.73,69.8,77,0,4.7,GM,1608419465
Betanzos,43.28,-8.21,53.01,93,0,6.93,ES,1608419465
Ostrovnoy,68.05,39.51,16.54,95,92,7.36,RU,1608419142
